trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",30,0,-132.2700427511485,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-119.66660295131913,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-97.35928912878663,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",30,0,-125.26244733157601,"{0: 21, 1: 2, 2: 2, 3: 4, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-150.68907245514475,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-102.96020760054898,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",35,19,-49.96349984298116,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,10,-12.909758308687946,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,1,-78.52607178298186,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 1}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-96.93963890803983,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-127.4659532511138,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-151.55635066504666,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-40.83169797977814,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,10,3.008772710526503,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",25,15,2.6141676806807266,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",35,5,-55.45539212862295,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,0,-67.93695227068315,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,15,-14.318066937272896,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",30,0,-80.49029392739772,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-56.224550802393665,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,2,-79.68520422968989,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 1}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,4,-52.966602621218804,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-55.990644028187454,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,10,-0.8813024299159686,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,0,-161.22887910826432,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,0,0.7770555225334819,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-101.29933005411299,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",25,2,-11.3777409460711,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-66.41828550347475,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,3,-97.84939092769754,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",35,19,13.679084776478525,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,6,-74.5174439553684,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 2}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,5,-52.16558817659279,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,6,-13.800456626992798,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,0,-174.65853694446193,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,11,23.486168681039832,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,8,9.642373876701265,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,8,-9.952932209840348,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,2,-7.189639944130056,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",30,17,14.62243865931191,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,8,-26.66803546521291,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",30,0,-51.87691088936214,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
